Id,Rarity Score,Attribute Count,Punk Type,Full Type,Hair,Eyes,Facial Hair,Blemishes,Neck Accessory,Mouth Prop,Mouth,Nose,Ears
5672,75.49,3,Female,Female-Mid,Mohawk,NONE,NONE,Mole,NONE,NONE,Purple Lipstick,NONE,NONE
5673,110.92,2,Female,Female-Mid,Wild Blonde,Regular Shades,NONE,NONE,NONE,NONE,NONE,NONE,NONE
5674,125.05,3,Male,Male-Mid,Stringy Hair,NONE,Front Beard Dark,NONE,NONE,NONE,NONE,Clown Nose,NONE
5675,204.44,4,Female,Female-Light,Red Mohawk,Green Eye Shadow,NONE,Mole,Gold Chain,NONE,NONE,NONE,NONE
5676,90.79,3,Male,Male-Albino,Cap,Big Shades,NONE,Mole,NONE,NONE,NONE,NONE,NONE
5677,74.06,3,Female,Female-Albino,Wild Hair,NONE,NONE,NONE,NONE,Cigarette,NONE,NONE,Earring
5678,98.95,3,Male,Male-Mid,Cap,Classic Shades,Normal Beard,NONE,NONE,NONE,NONE,NONE,NONE
5679,162.36,3,Female,Female-Light,Pigtails,Regular Shades,NONE,NONE,NONE,NONE,Black Lipstick,NONE,NONE
5680,137.37,3,Male,Male-Dark,Crazy Hair,NONE,Handlebars,NONE,NONE,Medical Mask,NONE,NONE,NONE
5681,147.34,4,Female,Female-Mid,Red Mohawk,3D Glasses,NONE,NONE,NONE,NONE,Black Lipstick,NONE,Earring
5682,136.37,4,Female,Female-Dark,Half Shaved,NONE,NONE,Mole,NONE,Cigarette,Black Lipstick,NONE,NONE
5683,80.56,2,Male,Male-Light,Frumpy Hair,NONE,NONE,NONE,NONE,NONE,Frown,NONE,NONE
5684,418.1,2,Female,Female-Dark,Pilot Helmet,NONE,NONE,NONE,Choker,NONE,NONE,NONE,NONE
5685,94.45,3,Female,Female-Mid,Cap,VR,NONE,NONE,NONE,NONE,Purple Lipstick,NONE,NONE
5686,118.48,2,Male,Male-Dark,Purple Hair,NONE,Handlebars,NONE,NONE,NONE,NONE,NONE,NONE
5687,79.62,2,Male,Male-Light,Messy Hair,NONE,Front Beard Dark,NONE,NONE,NONE,NONE,NONE,NONE
5688,97.24,2,Male,Male-Dark,Cap Forward,NONE,Handlebars,NONE,NONE,NONE,NONE,NONE,NONE
5689,108.23,2,Female,Female-Light,Red Mohawk,Nerd Glasses,NONE,NONE,NONE,NONE,NONE,NONE,NONE
5690,311.54,3,Male,Male-Mid,Beanie,3D Glasses,Muttonchops,NONE,NONE,NONE,NONE,NONE,NONE
5691,140.31,3,Female,Female-Mid,Clown Hair Green,Green Eye Shadow,NONE,NONE,NONE,NONE,Purple Lipstick,NONE,NONE
5692,262.49,4,Female,Female-Mid,Tiara,Purple Eye Shadow,NONE,NONE,NONE,NONE,Hot Lipstick,NONE,Earring
5693,143.62,3,Female,Female-Mid,Straight Hair,Classic Shades,NONE,NONE,NONE,Vape,NONE,NONE,NONE
5694,84.43,3,Male,Male-Light,Mohawk,Small Shades,Shadow Beard,NONE,NONE,NONE,NONE,NONE,NONE
5695,100.45,4,Male,Male-Light,Mohawk Dark,Big Shades,Normal Beard Black,NONE,NONE,NONE,NONE,NONE,Earring
5696,134.4,3,Male,Male-Light,Police Cap,Eye Mask,Mustache,NONE,NONE,NONE,NONE,NONE,NONE
5697,78.99,3,Female,Female-Dark,Crazy Hair,Nerd Glasses,NONE,NONE,NONE,NONE,Black Lipstick,NONE,NONE
5698,88.02,3,Female,Female-Dark,Headband,Purple Eye Shadow,NONE,NONE,NONE,NONE,NONE,NONE,Earring
5699,167.55,4,Male,Male-Mid,Vampire Hair,3D Glasses,Normal Beard,NONE,NONE,Cigarette,NONE,NONE,NONE
5700,93.37,3,Male,Male-Light,Knitted Cap,Regular Shades,Normal Beard,NONE,NONE,NONE,NONE,NONE,NONE
5701,78.92,3,Male,Male-Dark,Mohawk Thin,NONE,Normal Beard,NONE,NONE,NONE,NONE,NONE,Earring
5702,117.67,3,Female,Female-Light,Dark Hair,NONE,NONE,Mole,NONE,NONE,Black Lipstick,NONE,NONE
5703,95.78,3,Female,Female-Dark,Mohawk Thin,Blue Eye Shadow,NONE,NONE,NONE,NONE,Hot Lipstick,NONE,NONE
5704,108.58,2,Female,Female-Dark,Red Mohawk,Nerd Glasses,NONE,NONE,NONE,NONE,NONE,NONE,NONE
5705,78.17,2,Male,Male-Albino,Cap,Classic Shades,NONE,NONE,NONE,NONE,NONE,NONE,NONE
5706,71.11,2,Male,Male-Albino,Wild Hair,Regular Shades,NONE,NONE,NONE,NONE,NONE,NONE,NONE
5707,83.3,4,Male,Male-Mid,Messy Hair,Big Shades,Shadow Beard,NONE,NONE,NONE,NONE,NONE,Earring
5708,120.94,2,Female,Female-Albino,Clown Hair Green,NONE,NONE,NONE,NONE,NONE,Hot Lipstick,NONE,NONE
5709,117.26,3,Male,Male-Light,Peak Spike,3D Glasses,Muttonchops,NONE,NONE,NONE,NONE,NONE,NONE
5710,125.37,3,Male,Male-Dark,Fedora,Classic Shades,Luxurious Beard,NONE,NONE,NONE,NONE,NONE,NONE
5711,117.57,4,Male,Male-Dark,Peak Spike,Clown Eyes Blue,Normal Beard,NONE,NONE,NONE,NONE,NONE,Earring
5712,151.43,2,Female,Female-Light,Blonde Bob,NONE,NONE,NONE,Gold Chain,NONE,NONE,NONE,NONE
5713,117.06,2,Female,Female-Albino,Dark Hair,NONE,NONE,NONE,NONE,NONE,Hot Lipstick,NONE,NONE
5714,153.46,3,Male,Male-Light,Cowboy Hat,VR,Front Beard,NONE,NONE,NONE,NONE,NONE,NONE
5715,97.81,2,Male,Male-Mid,Police Cap,VR,NONE,NONE,NONE,NONE,NONE,NONE,NONE
5716,142.59,4,Male,Male-Mid,Messy Hair,NONE,NONE,NONE,NONE,Medical Mask,Frown,NONE,Earring
5717,81.4,2,Female,Female-Mid,Bandana,NONE,NONE,NONE,NONE,Vape,NONE,NONE,NONE
5718,99.74,3,Male,Male-Mid,Mohawk,Clown Eyes Blue,Mustache,NONE,NONE,NONE,NONE,NONE,NONE
5719,211.09,3,Female,Female-Mid,Dark Hair,Welding Goggles,NONE,NONE,NONE,Cigarette,NONE,NONE,NONE
5720,87.9,2,Male,Male-Light,Bandana,NONE,NONE,NONE,NONE,NONE,NONE,Clown Nose,NONE
5721,264.01,4,Female,Female-Light,Pigtails,NONE,NONE,Spots,NONE,Vape,Hot Lipstick,NONE,NONE
5722,76.02,3,Male,Male-Mid,Bandana,Classic Shades,Shadow Beard,NONE,NONE,NONE,NONE,NONE,NONE
5723,128.07,4,Female,Female-Dark,Blonde Bob,NONE,NONE,Mole,NONE,NONE,Hot Lipstick,NONE,Earring
5724,81.86,2,Female,Female-Albino,Wild Hair,Eye Patch,NONE,NONE,NONE,NONE,NONE,NONE,NONE
5725,118.75,4,Male,Male-Light,Hoodie,Eye Patch,Normal Beard Black,NONE,NONE,NONE,NONE,NONE,Earring
5726,124.29,3,Male,Male-Dark,Clown Hair Green,NONE,Mustache,NONE,NONE,NONE,NONE,NONE,Earring
5727,253.31,3,Male,Male-Light,NONE,NONE,Front Beard,NONE,NONE,Pipe,Buck Teeth,NONE,NONE
5728,159.16,3,Female,Female-Mid,Frumpy Hair,Blue Eye Shadow,NONE,Rosy Cheeks,NONE,NONE,NONE,NONE,NONE
5729,104.84,4,Male,Male-Light,Mohawk,Eye Patch,Front Beard,NONE,NONE,NONE,NONE,NONE,Earring
5730,103.4,2,Male,Male-Light,Police Cap,NONE,Mustache,NONE,NONE,NONE,NONE,NONE,NONE
5731,121.79,3,Female,Female-Mid,Red Mohawk,NONE,NONE,Mole,NONE,NONE,Black Lipstick,NONE,NONE
5732,155.37,4,Male,Male-Albino,Stringy Hair,Clown Eyes Blue,Normal Beard Black,NONE,NONE,NONE,Smile,NONE,NONE
5733,98.66,3,Male,Male-Dark,Messy Hair,Eye Patch,NONE,NONE,NONE,NONE,Frown,NONE,NONE
5734,255.28,3,Female,Female-Light,Tiara,Green Eye Shadow,NONE,Mole,NONE,NONE,NONE,NONE,NONE
